Date,Open,High,Low,Close,Volume,Adj Close
2015-07-03,54.63,54.77,53.93,54.27,3626200,54.27
2015-07-02,55.79,55.90,54.57,54.71,3194900,54.71
2015-07-01,54.84,56.49,54.43,55.37,6084400,55.37
2015-06-30,54.50,55.67,53.93,54.15,6608500,54.15
2015-06-29,54.00,55.43,53.30,54.81,8088500,54.81
2015-06-26,56.91,58.00,56.38,57.63,4038400,57.63
2015-06-25,56.28,57.84,56.24,57.03,5399900,57.03
2015-06-24,57.49,57.66,56.07,56.86,5275300,56.86
2015-06-23,56.89,57.65,56.58,57.36,4673600,57.36
2015-06-22,55.43,56.64,54.93,56.32,6507300,56.32
2015-06-19,53.32,54.15,53.01,53.61,5835800,53.61
2015-06-18,53.10,53.42,52.37,53.08,5120300,53.08
2015-06-17,53.89,54.12,53.08,53.14,3467100,53.14
2015-06-16,53.56,54.08,52.79,53.67,4399700,53.67
2015-06-15,54.41,54.94,53.51,53.96,3941500,53.96
2015-06-12,55.90,56.18,54.52,55.30,3552400,55.30
2015-06-11,55.32,56.59,55.19,56.02,3587400,56.02
2015-06-10,54.16,56.05,53.94,55.56,3721300,55.56
2015-06-09,54.50,55.01,53.64,54.39,4322700,54.39
2015-06-08,55.13,55.69,54.63,54.63,3205600,54.63
2015-06-05,55.80,56.09,54.75,55.30,4914700,55.30
2015-06-04,56.42,57.05,55.39,56.34,4377000,56.34
2015-06-03,55.60,57.00,55.60,56.77,5783800,56.77
2015-06-02,55.19,56.11,54.45,55.53,4155800,55.53
2015-06-01,55.03,55.37,54.42,54.85,3236800,54.85
2015-05-29,56.06,56.31,54.81,54.93,4481200,54.93
2015-05-28,56.21,56.54,55.54,56.15,2358900,56.15
2015-05-27,55.85,56.82,55.54,56.47,4190200,56.47
2015-05-26,56.30,56.52,55.27,55.57,3275900,55.57
2015-05-25,56.53,56.55,55.90,56.23,837500,56.23
2015-05-22,56.58,57.10,56.33,57.01,3153700,57.01
2015-05-21,56.84,56.84,56.05,56.47,2614800,56.47
2015-05-20,56.00,56.90,55.82,56.85,4113700,56.85
2015-05-19,56.87,57.85,56.79,57.41,3930300,55.91
2015-05-18,56.70,57.00,55.50,56.65,4135600,55.1699
2015-05-15,57.34,57.82,56.31,56.74,4304300,55.2575
2015-05-14,55.96,57.11,55.31,56.90,2670300,55.4133
2015-05-13,56.27,56.98,55.81,55.99,4042200,54.5271
2015-05-12,56.28,56.54,55.61,56.11,4207000,54.644
2015-05-11,57.23,57.35,56.59,56.86,2863600,55.3744
2015-05-08,56.80,57.42,56.04,57.41,3926500,55.91
2015-05-07,55.66,56.58,54.83,56.35,5145900,54.8777
2015-05-06,55.35,56.28,54.97,56.03,5721300,54.5661
2015-05-05,56.60,57.43,54.92,55.04,5864200,53.6019
2015-05-04,57.03,57.05,55.76,56.75,3729900,55.2672
2015-05-01,56.44,56.44,56.44,56.44,000,54.9653
2015-04-30,57.06,57.48,55.39,56.44,7149500,54.9653
2015-04-29,58.75,59.00,57.23,57.35,5588000,55.8516
2015-04-28,58.87,58.90,57.93,58.61,4425000,57.0786
2015-04-27,59.69,59.69,58.02,59.17,4648500,57.624
2015-04-24,58.32,59.18,58.20,58.99,5607100,57.4487
2015-04-23,58.20,58.26,56.91,58.01,5310700,56.4943
2015-04-22,56.22,58.05,56.20,58.01,6330100,56.4943
2015-04-21,56.47,56.77,55.26,55.59,3701500,54.1376
2015-04-20,55.10,56.07,55.09,56.07,3944600,54.605
2015-04-17,56.11,56.67,54.50,55.11,7205300,53.6701
2015-04-16,57.14,57.15,55.82,56.33,5035900,54.8582
2015-04-15,57.04,57.49,56.83,57.14,3558300,55.6471
2015-04-14,57.50,57.93,56.28,56.80,4995300,55.3159
2015-04-13,57.25,57.83,57.00,57.62,3131900,56.1145
2015-04-10,57.90,57.90,56.66,57.25,4137300,55.7542
2015-04-09,58.00,58.34,57.66,57.93,3823400,56.4164
2015-04-08,57.29,57.89,57.25,57.67,4171900,56.1632
2015-04-07,57.28,57.69,57.00,57.18,4306500,55.686
2015-04-06,57.24,57.24,57.24,57.24,000,55.7444
2015-04-03,57.24,57.24,57.24,57.24,000,55.7444
2015-04-02,57.00,57.52,57.00,57.24,2594700,55.7444
2015-04-01,55.98,57.70,55.88,57.03,4822300,55.5399
2015-03-31,57.00,57.55,56.36,56.57,5111600,55.0919
2015-03-30,56.60,57.49,56.57,57.26,5310100,55.7639
2015-03-27,55.57,56.57,55.37,56.19,6940500,54.7219
2015-03-26,54.39,55.12,53.70,55.12,5402800,53.6798
