Date,Open,High,Low,Close,Volume,Adj Close
2015-07-03,13.42,13.50,13.27,13.37,3602500,13.37
2015-07-02,13.71,13.74,13.435,13.48,4003600,13.48
2015-07-01,13.52,13.84,13.41,13.675,7333700,13.675
2015-06-30,13.34,13.645,13.195,13.34,8147800,13.34
2015-06-29,13.01,13.58,13.00,13.425,11997800,13.425
2015-06-26,13.97,14.24,13.855,14.135,6219600,14.135
2015-06-25,13.98,14.17,13.89,14.07,6951800,14.07
2015-06-24,14.08,14.13,13.83,14.05,6187100,14.05
2015-06-23,14.035,14.12,13.95,14.07,6816100,14.07
2015-06-22,13.46,13.91,13.44,13.855,9159100,13.855
2015-06-19,13.035,13.27,13.00,13.175,6209300,13.175
2015-06-18,13.00,13.12,12.75,13.065,6320700,13.065
2015-06-17,13.075,13.21,12.955,12.975,4519000,12.975
2015-06-16,12.965,13.14,12.785,13.065,5628200,13.065
2015-06-15,13.21,13.245,12.94,13.045,6583100,13.045
2015-06-12,13.42,13.53,13.115,13.395,6186000,13.395
2015-06-11,13.455,13.61,13.355,13.465,5469200,13.465
2015-06-10,13.17,13.585,13.10,13.485,6067100,13.485
2015-06-09,13.12,13.27,13.01,13.23,5679600,13.23
2015-06-08,13.41,13.50,13.15,13.15,5092200,13.15
2015-06-05,13.555,13.65,13.23,13.395,7692300,13.395
2015-06-04,13.705,13.835,13.515,13.655,5580500,13.655
2015-06-03,13.875,14.005,13.74,13.855,7932100,13.855
2015-06-02,13.575,13.905,13.40,13.83,7376800,13.83
2015-06-01,13.625,13.715,13.47,13.51,5676200,13.51
2015-05-29,13.85,13.90,13.575,13.595,8047200,13.595
2015-05-28,14.00,14.07,13.795,13.935,6680400,13.935
2015-05-27,14.00,14.455,13.965,14.33,7656800,13.98
2015-05-26,14.02,14.135,13.775,13.925,5601100,13.5849
2015-05-25,14.11,14.14,13.91,14.005,1558600,13.6629
2015-05-22,14.105,14.225,14.05,14.16,3877800,13.8142
2015-05-21,14.105,14.12,13.95,14.065,3242600,13.7215
2015-05-20,13.955,14.14,13.88,14.115,4663700,13.7703
2015-05-19,13.90,14.06,13.825,13.92,6232600,13.58
2015-05-18,14.155,14.19,13.64,13.79,11328600,13.4532
2015-05-15,14.39,14.425,14.165,14.225,5129200,13.8776
2015-05-14,14.00,14.365,13.90,14.31,5153100,13.9605
2015-05-13,13.85,14.23,13.85,14.06,7146600,13.7166
2015-05-12,13.77,13.845,13.65,13.795,6674000,13.4581
2015-05-11,13.91,13.985,13.725,13.905,5058000,13.5654
2015-05-08,13.80,13.925,13.675,13.925,5107700,13.5849
2015-05-07,13.57,13.70,13.30,13.685,8596800,13.3508
2015-05-06,13.60,13.83,13.40,13.62,9400400,13.2873
2015-05-05,14.03,14.19,13.545,13.545,7334500,13.2142
2015-05-04,13.99,14.075,13.77,13.965,4743900,13.6239
2015-05-01,13.905,13.905,13.905,13.905,000,13.5654
2015-04-30,13.995,14.125,13.805,13.905,8223700,13.5654
2015-04-29,14.28,14.445,13.955,14.01,7750100,13.6678
2015-04-28,14.245,14.485,14.10,14.225,9810900,13.8776
2015-04-27,14.13,14.385,13.93,14.34,7233500,13.9898
2015-04-24,13.74,14.125,13.735,14.115,9297100,13.7703
2015-04-23,13.71,13.75,13.45,13.695,4833500,13.3605
2015-04-22,13.50,13.695,13.40,13.69,6451100,13.3556
2015-04-21,13.69,13.76,13.325,13.425,6539000,13.0971
2015-04-20,13.375,13.59,13.36,13.565,4995500,13.2337
2015-04-17,13.785,13.92,13.38,13.40,9994400,13.0727
2015-04-16,14.205,14.215,13.76,13.79,8111100,13.4532
2015-04-15,14.00,14.24,13.97,14.215,4391000,13.8678
2015-04-14,14.12,14.265,13.875,13.98,5698300,13.6385
2015-04-13,14.19,14.215,14.06,14.15,4883800,13.8044
2015-04-10,14.275,14.36,14.075,14.185,4729000,13.8385
2015-04-09,14.18,14.25,14.085,14.25,4139200,13.902
2015-04-08,14.13,14.225,14.055,14.135,5252600,13.7898
2015-04-07,14.145,14.195,14.095,14.125,5364200,13.78
2015-04-06,14.105,14.105,14.105,14.105,000,13.7605
2015-04-03,14.105,14.105,14.105,14.105,000,13.7605
2015-04-02,14.085,14.14,14.015,14.105,3681500,13.7605
2015-04-01,13.605,14.17,13.60,14.10,11149000,13.7556
2015-03-31,13.88,14.01,13.675,13.675,7365000,13.341
2015-03-30,13.69,14.025,13.66,13.895,7621500,13.5556
2015-03-27,13.535,13.66,13.44,13.61,7055600,13.2776
2015-03-26,13.525,13.63,13.275,13.46,7073600,13.1312
2015-03-25,13.745,13.835,13.63,13.67,6162900,13.3361
2015-03-24,13.50,13.81,13.455,13.74,6534600,13.4044
2015-03-23,13.405,13.69,13.34,13.515,6018400,13.1849
2015-03-20,13.205,13.47,13.11,13.415,6734300,13.0873
2015-03-19,13.11,13.245,13.045,13.23,5647700,12.9069
2015-03-18,13.235,13.305,13.00,13.075,8197200,12.7557
2015-03-17,13.305,13.335,13.085,13.23,5896900,12.9069
2015-03-16,13.105,13.385,13.105,13.285,6881600,12.9605
2015-03-13,13.10,13.145,12.995,13.10,4287600,12.78
2015-03-12,13.09,13.14,12.99,13.06,4501600,12.741
2015-03-11,12.805,13.12,12.805,13.09,6812200,12.7703
2015-03-10,12.935,13.04,12.72,12.72,5795300,12.4093
2015-03-09,12.95,13.005,12.81,12.95,6052900,12.6337
2015-03-06,12.815,13.13,12.73,13.05,8125600,12.7313
2015-03-05,12.84,12.87,12.685,12.805,7337000,12.4922
2015-03-04,12.665,12.86,12.57,12.785,7532300,12.4727
2015-03-03,12.79,12.83,12.535,12.585,8385100,12.2776
2015-03-02,12.58,12.78,12.57,12.745,7262600,12.4337
2015-02-27,12.62,12.655,12.475,12.57,7722100,12.263
2015-02-26,12.545,12.76,12.455,12.61,8262800,12.302
2015-02-25,12.715,12.77,12.525,12.54,10810100,12.2337
2015-02-24,12.55,12.86,12.52,12.81,9121000,12.4971
2015-02-23,12.965,13.17,12.67,12.77,12994800,12.4581
2015-02-20,12.78,12.96,12.68,12.895,10555200,12.58
2015-02-19,12.90,12.915,12.42,12.78,10895100,12.4679
2015-02-18,12.11,12.94,12.11,12.885,23040200,12.5703
2015-02-17,11.79,11.995,11.585,11.975,8015000,11.6825
2015-02-16,11.90,11.985,11.825,11.915,8765700,11.624
2015-02-13,11.405,11.995,11.38,11.965,19388900,11.6728
2015-02-12,10.87,11.48,10.795,11.335,16063100,11.0582
2015-02-11,10.995,11.035,10.81,10.835,5195300,10.5704
2015-02-10,10.91,11.12,10.87,11.00,8229000,10.7313
2015-02-09,10.83,10.87,10.67,10.845,6992900,10.5801
2015-02-06,10.89,11.01,10.815,10.975,5974400,10.7069
2015-02-05,10.665,10.88,10.54,10.86,7075700,10.5948
2015-02-04,10.985,11.145,10.73,10.83,10450500,10.5655
2015-02-03,10.75,11.025,10.715,10.995,8530400,10.7265
2015-02-02,10.54,10.65,10.33,10.65,8247100,10.3899
2015-01-30,10.82,10.90,10.505,10.565,8664700,10.307
2015-01-29,10.70,10.875,10.615,10.76,7150300,10.4972
2015-01-28,11.085,11.14,10.715,10.785,8330200,10.5216
2015-01-27,11.145,11.175,10.865,10.985,8316700,10.7167
2015-01-26,11.17,11.26,11.02,11.15,9544300,10.8777
2015-01-23,11.55,11.635,11.125,11.25,13706100,10.9752
2015-01-22,11.09,11.57,11.045,11.43,16412700,11.1508
2015-01-21,10.94,11.05,10.735,11.05,10576800,10.7801
2015-01-20,10.795,11.045,10.715,10.88,11017700,10.6143
2015-01-19,10.75,10.88,10.635,10.72,6529500,10.4582
2015-01-16,10.505,10.745,10.485,10.73,10279600,10.4679
2015-01-15,10.40,10.575,10.015,10.525,9734300,10.2679
2015-01-14,10.185,10.55,10.16,10.305,8326000,10.0533
2015-01-13,9.973,10.385,9.955,10.36,9109900,10.107
2015-01-12,10.07,10.155,9.822,9.995,10433200,9.7509
2015-01-09,10.26,10.37,9.935,10.065,9587600,9.8192
2015-01-08,10.25,10.41,10.085,10.30,8380600,10.0484
2015-01-07,10.265,10.33,10.01,10.055,8795500,9.8094
2015-01-06,10.405,10.47,10.20,10.20,5901400,9.9509
2015-01-05,10.84,11.00,10.375,10.40,7581000,10.146
2015-01-02,10.835,11.035,10.695,10.90,4199900,10.6338
2015-01-01,10.76,10.76,10.76,10.76,000,10.4972
