Date,Open,High,Low,Close,Volume,Adj Close
2015-07-06,155.00,158.60,154.50,155.90,788200,155.90
2015-07-03,159.05,160.05,157.65,158.35,428000,158.35
2015-07-02,161.05,162.20,158.95,159.35,566700,159.35
2015-07-01,159.30,163.40,158.10,160.85,1048600,160.85
2015-06-30,161.85,163.15,159.65,160.00,1101700,160.00
2015-06-29,161.95,165.40,160.55,161.95,1102500,161.95
2015-06-26,166.30,170.05,166.00,168.65,623900,168.65
2015-06-25,166.15,169.65,165.05,167.45,910500,167.45
2015-06-24,170.15,170.30,167.70,169.00,603700,169.00
2015-06-23,170.00,170.90,168.55,169.70,814800,169.70
2015-06-22,165.50,168.65,164.50,168.20,965400,168.20
2015-06-19,164.20,165.40,161.20,161.80,1707300,161.80
2015-06-18,161.80,164.10,160.25,163.75,643900,163.75
2015-06-17,165.80,165.85,161.15,162.35,576100,162.35
2015-06-16,162.25,165.60,161.40,164.95,603600,164.95
2015-06-15,164.30,165.25,162.85,163.20,565100,163.20
2015-06-12,168.50,169.05,164.30,165.65,537900,165.65
2015-06-11,167.20,170.75,166.45,168.75,627900,168.75
2015-06-10,164.45,168.65,163.55,167.80,718100,167.80
2015-06-09,165.30,165.95,163.25,164.70,674600,164.70
2015-06-08,166.65,167.70,165.55,165.85,456300,165.85
2015-06-05,169.20,169.55,166.45,166.65,534000,166.65
2015-06-04,169.30,171.80,166.30,170.00,550200,170.00
2015-06-03,170.00,173.05,169.10,170.55,515200,170.55
2015-06-02,175.20,175.20,169.65,169.65,759600,169.65
2015-06-01,173.10,174.90,172.20,173.60,468300,173.60
2015-05-29,176.75,177.00,171.70,171.95,952100,171.95
2015-05-28,177.00,177.40,175.10,176.50,437200,176.50
2015-05-27,174.75,178.00,173.65,177.65,689200,177.65
2015-05-26,174.70,175.95,172.85,173.60,802100,173.60
2015-05-25,174.50,174.80,173.25,174.20,193700,174.20
2015-05-22,175.00,175.00,173.45,174.80,451300,174.80
2015-05-21,174.15,174.95,173.05,174.90,437800,174.90
2015-05-20,174.00,175.00,172.80,175.00,527500,175.00
2015-05-19,170.00,175.00,169.80,174.80,830400,174.80
2015-05-18,168.00,169.80,166.15,169.80,519800,169.80
2015-05-15,170.50,171.50,167.55,168.40,662500,168.40
2015-05-14,165.65,170.30,164.90,170.15,513900,170.15
2015-05-13,168.35,170.20,165.65,166.25,530900,166.25
2015-05-12,169.10,169.10,165.95,168.25,582900,168.25
2015-05-11,171.40,172.20,169.55,170.15,628400,170.15
2015-05-08,170.05,173.55,168.85,173.45,662600,173.45
2015-05-07,167.15,169.60,165.25,168.60,964900,168.60
2015-05-06,166.10,168.60,165.35,167.75,830500,167.75
2015-05-05,170.00,172.65,166.40,166.70,1111900,166.70
2015-05-04,172.45,174.30,170.65,173.35,567800,170.65
2015-05-01,170.45,170.45,170.45,170.45,000,167.795
2015-04-30,169.00,172.00,167.25,170.45,900900,167.795
2015-04-29,174.05,175.90,169.20,169.20,820000,166.565
2015-04-28,178.45,178.75,172.45,174.00,752000,171.29
2015-04-27,175.50,179.55,173.35,179.25,709300,176.458
2015-04-24,175.40,176.65,174.00,175.75,509400,173.013
2015-04-23,177.70,178.35,173.10,175.00,842900,172.274
2015-04-22,178.10,179.05,175.25,177.10,594800,174.342
2015-04-21,178.45,181.30,177.60,178.15,795500,175.375
2015-04-20,175.15,177.20,175.05,177.20,710300,174.44
2015-04-17,178.45,179.25,175.75,176.30,871500,173.554
2015-04-16,177.50,179.00,175.80,178.75,681500,175.966
2015-04-15,178.30,179.05,177.35,178.10,547300,175.326
2015-04-14,178.30,178.50,176.25,177.60,621400,174.834
2015-04-13,178.15,178.90,177.15,178.65,610600,175.867
2015-04-10,176.10,178.95,175.75,178.95,579000,176.163
2015-04-09,174.80,175.95,174.30,175.95,579000,173.21
2015-04-08,173.85,174.85,172.55,174.05,602500,171.339
2015-04-07,174.60,175.70,172.35,175.15,462500,172.422
2015-04-06,172.70,172.70,172.70,172.70,000,170.01
2015-04-03,172.70,172.70,172.70,172.70,000,170.01
2015-04-02,171.80,173.20,171.40,172.70,358200,170.01
2015-04-01,170.40,173.25,169.35,171.30,650000,168.632
2015-03-31,172.00,173.85,171.15,171.35,825100,168.681
2015-03-30,172.00,174.25,171.10,172.55,586400,169.862
2015-03-27,169.85,172.35,169.30,172.15,822300,169.469
2015-03-26,167.50,169.00,165.40,169.00,753300,166.368
2015-03-25,170.75,171.10,168.35,168.95,562700,166.319
2015-03-24,171.15,173.10,170.80,171.40,707600,168.73
2015-03-23,172.45,172.55,169.35,171.15,549600,168.484
2015-03-20,170.10,172.60,170.10,172.10,1051500,169.419
2015-03-19,170.95,172.00,168.95,170.25,710300,167.598
2015-03-18,171.20,172.30,169.75,170.95,975600,168.287
2015-03-17,173.20,174.25,171.50,172.50,690800,169.813
2015-03-16,171.80,173.60,171.55,173.30,642900,170.601
2015-03-13,169.25,171.75,168.95,171.75,644300,169.075
2015-03-12,169.30,170.30,168.50,169.05,573600,166.417
2015-03-11,165.90,170.00,165.45,169.70,1006500,167.057
2015-03-10,164.70,165.60,163.90,164.80,625100,162.233
2015-03-09,164.65,165.45,163.25,165.30,618000,162.725
2015-03-06,164.35,165.85,164.20,165.60,659500,163.021
2015-03-05,163.65,164.90,163.45,164.75,775600,162.184
2015-03-04,161.60,163.30,160.00,163.30,684700,160.757
2015-03-03,161.50,163.45,160.55,161.10,545500,158.591
2015-03-02,162.85,162.90,160.75,162.10,615700,159.575
2015-02-27,161.00,162.25,159.40,162.25,732600,159.723
2015-02-26,159.60,161.40,158.45,161.20,645200,158.689
2015-02-25,159.00,159.80,158.55,159.45,557300,156.966
2015-02-24,159.00,159.80,157.45,159.30,706800,156.819
2015-02-23,158.00,159.00,157.20,158.75,560000,156.277
2015-02-20,156.75,158.00,155.80,157.60,1086700,155.145
2015-02-19,154.80,157.15,154.40,157.10,860300,154.653
2015-02-18,155.00,155.80,154.45,155.45,872700,153.029
2015-02-17,154.50,155.55,153.10,155.40,772800,152.98
2015-02-16,155.45,155.55,154.15,154.50,812300,152.094
2015-02-13,161.45,162.70,152.05,156.05,1788000,153.619
2015-02-12,158.70,159.20,156.60,157.90,880900,155.441
2015-02-11,156.60,158.90,156.55,158.40,636300,155.933
2015-02-10,155.45,158.45,155.15,157.55,698900,155.096
2015-02-09,156.40,157.05,155.05,155.95,1126300,153.521
2015-02-06,157.55,158.40,156.50,157.60,603500,155.145
2015-02-05,156.65,158.50,156.60,158.00,620800,155.539
2015-02-04,155.40,157.95,154.90,157.95,740000,155.49
2015-02-03,158.30,159.00,155.60,155.75,1014100,153.324
2015-02-02,159.00,160.55,156.85,157.70,860500,155.244
2015-01-30,159.60,159.85,157.05,159.05,1065000,156.573
2015-01-29,155.90,160.20,155.90,160.20,886700,157.705
2015-01-28,156.50,157.05,154.50,157.00,855800,154.555
2015-01-27,158.20,159.40,155.25,156.30,957800,153.866
2015-01-26,155.00,158.65,154.75,158.65,893300,156.179
2015-01-23,150.90,155.80,150.55,155.65,1162600,153.226
2015-01-22,149.25,150.60,147.50,150.25,1212600,147.91
2015-01-21,148.85,149.80,146.45,149.80,1071700,147.467
2015-01-20,147.15,148.70,145.60,148.70,792600,146.384
2015-01-19,146.60,148.10,145.95,146.75,617300,144.464
2015-01-16,145.00,148.85,144.95,146.65,1278900,144.366
2015-01-15,142.65,146.40,138.05,146.10,1360900,143.824
2015-01-14,140.50,143.20,140.35,141.60,820200,139.395
2015-01-13,140.40,144.10,140.10,142.65,727400,140.428
2015-01-12,138.20,141.55,138.20,140.90,854100,138.705
2015-01-09,139.30,140.30,137.10,137.80,732900,135.654
2015-01-08,136.45,139.95,136.00,139.80,872900,137.623
2015-01-07,135.00,135.90,133.40,134.90,653100,132.799
2015-01-06,134.45,135.75,133.95,134.15,760700,132.061
