Date,Open,High,Low,Close,Volume,Adj Close
2015-07-06,22.50,22.62,22.215,22.255,4948500,22.255
2015-07-03,22.975,23.035,22.645,22.665,3631000,22.665
2015-07-02,23.24,23.24,22.955,22.975,3284400,22.975
2015-07-01,22.855,23.395,22.76,23.185,7984600,23.185
2015-06-30,22.83,23.03,22.60,22.625,8707600,22.625
2015-06-29,23.03,23.31,22.75,22.91,7535800,22.91
2015-06-26,23.68,23.905,23.465,23.555,6978400,23.555
2015-06-25,23.58,23.895,23.45,23.83,8335000,23.83
2015-06-24,24.53,24.58,24.215,24.40,8573400,23.40
2015-06-23,24.40,24.745,24.30,24.52,7128500,23.515
2015-06-22,23.815,24.14,23.71,24.125,8602900,23.136
2015-06-19,23.48,23.72,23.295,23.295,12226700,22.34
2015-06-18,23.63,23.745,23.43,23.49,6475600,22.527
2015-06-17,23.55,24.075,23.495,23.725,6526400,22.753
2015-06-16,23.505,23.67,23.285,23.585,4278200,22.618
2015-06-15,23.50,23.68,23.41,23.60,5295100,22.633
2015-06-12,23.75,23.855,23.57,23.69,8326200,22.719
2015-06-11,23.895,24.10,23.70,23.80,8375100,22.825
2015-06-10,23.74,24.00,23.565,23.97,7166400,22.988
2015-06-09,23.555,23.94,23.54,23.84,11334300,22.863
2015-06-08,23.565,23.675,23.325,23.585,4344300,22.618
2015-06-05,23.20,23.62,23.115,23.55,6097700,22.585
2015-06-04,23.535,23.70,23.16,23.36,5593800,22.403
2015-06-03,23.52,23.75,23.41,23.63,4258600,22.662
2015-06-02,23.39,23.64,23.21,23.52,5758300,22.556
2015-06-01,23.19,23.495,23.105,23.38,4619600,22.422
2015-05-29,23.46,23.705,23.12,23.19,12253900,22.24
2015-05-28,23.595,23.72,23.405,23.555,3455600,22.59
2015-05-27,23.37,23.705,23.37,23.66,6658200,22.69
2015-05-26,23.175,23.55,23.175,23.385,9640100,22.427
2015-05-25,22.98,23.105,22.78,23.06,711100,22.115
2015-05-22,23.15,23.425,23.02,23.175,8075300,22.225
2015-05-21,22.825,23.055,22.825,22.915,2542300,21.976
2015-05-20,22.455,23.055,22.45,22.97,4777400,22.029
2015-05-19,22.205,22.58,22.205,22.515,4900800,21.592
2015-05-18,22.285,22.40,21.94,22.255,4428900,21.343
2015-05-15,22.50,22.57,22.27,22.35,4990900,21.434
2015-05-14,22.065,22.60,22.025,22.50,3734900,21.578
2015-05-13,22.63,23.17,22.16,22.25,8100500,21.338
2015-05-12,22.15,22.53,22.10,22.365,5912300,21.448
2015-05-11,22.59,22.725,22.49,22.675,3084800,21.746
2015-05-08,22.055,22.81,21.995,22.75,5837300,21.818
2015-05-07,21.925,22.08,21.62,22.00,6128100,21.098
2015-05-06,21.825,22.165,21.695,22.085,5241300,21.18
2015-05-05,22.34,22.73,22.01,22.01,4575300,21.108
2015-05-04,22.365,22.705,22.275,22.415,3343400,21.496
2015-05-01,22.415,22.415,22.415,22.415,000,21.496
2015-04-30,22.33,22.485,22.07,22.415,4701700,21.496
2015-04-29,22.815,22.985,22.27,22.27,5179600,21.357
2015-04-28,23.065,23.105,22.62,22.805,3772800,21.87
2015-04-27,23.05,23.23,22.82,23.12,4531000,22.172
2015-04-24,23.005,23.265,22.965,23.09,5356600,22.144
2015-04-23,22.855,23.045,22.75,22.96,4310800,22.019
2015-04-22,23.095,23.10,22.78,22.875,5860600,21.937
2015-04-21,23.04,23.07,22.705,22.89,6002600,21.952
2015-04-20,23.605,23.83,23.58,23.73,5676500,21.798
2015-04-17,23.795,23.855,23.365,23.43,6299800,21.523
2015-04-16,23.79,23.79,23.55,23.725,4916000,21.794
2015-04-15,24.05,24.07,23.815,23.85,6046700,21.909
2015-04-14,24.185,24.22,23.895,23.95,5969000,22.001
2015-04-13,24.22,24.27,24.125,24.235,5501200,22.262
2015-04-10,24.025,24.155,23.95,24.135,6610400,22.17
2015-04-09,24.20,24.42,23.745,23.885,11928100,21.941
2015-04-08,23.57,23.74,23.475,23.66,5841900,21.734
2015-04-07,23.415,23.56,23.385,23.515,5829900,21.601
2015-04-06,23.23,23.23,23.23,23.23,000,21.339
2015-04-03,23.23,23.23,23.23,23.23,000,21.339
2015-04-02,23.50,23.56,23.075,23.23,6576200,21.339
2015-04-01,23.00,23.52,22.97,23.50,10198300,21.587
2015-03-31,23.05,23.19,22.93,23.125,12996300,21.243
2015-03-30,22.805,23.11,22.685,23.10,10881800,21.22
2015-03-27,22.78,22.78,22.435,22.695,10402700,20.848
2015-03-26,22.90,22.975,22.505,22.96,9660300,21.091
2015-03-25,23.035,23.105,22.99,23.085,11409200,21.206
2015-03-24,22.81,23.09,22.745,23.05,15667000,21.174
2015-03-23,22.19,23.005,22.175,22.895,12931000,21.031
2015-03-20,22.10,22.205,22.025,22.155,7574500,20.352
2015-03-19,21.99,22.18,21.955,22.085,5652300,20.287
2015-03-18,21.795,22.06,21.685,22.045,4469100,20.251
2015-03-17,22.035,22.11,21.79,21.845,4548900,20.067
2015-03-16,22.01,22.115,21.92,22.005,4450800,20.214
2015-03-13,21.865,22.05,21.785,22.005,4287800,20.214
2015-03-12,21.955,22.01,21.715,21.75,4467600,19.98
2015-03-11,21.725,22.00,21.685,22.00,7978800,20.209
2015-03-10,21.56,21.76,21.50,21.60,5374600,19.842
2015-03-09,21.555,21.67,21.465,21.52,4643500,19.768
2015-03-06,21.565,21.77,21.51,21.56,5028600,19.805
2015-03-05,21.53,21.66,21.33,21.615,6895100,19.856
2015-03-04,21.14,21.50,20.96,21.405,10672400,19.663
2015-03-03,21.00,21.405,20.82,21.035,11970800,19.323
2015-03-02,20.605,20.985,20.32,20.74,55963300,19.052
2015-02-27,21.74,21.865,21.61,21.815,4964000,20.039
2015-02-26,21.56,21.775,21.515,21.775,4530100,20.003
2015-02-25,21.495,21.59,21.445,21.56,4421700,19.805
2015-02-24,21.43,21.585,21.41,21.56,5311400,19.805
2015-02-23,21.28,21.42,21.175,21.39,4896400,19.649
2015-02-20,21.25,21.30,20.98,21.15,6685400,19.428
2015-02-19,20.82,21.345,20.82,21.315,4717300,19.58
2015-02-18,21.00,21.175,20.855,20.945,4769800,19.24
2015-02-17,20.55,20.83,20.45,20.815,3527900,19.121
2015-02-16,20.745,20.81,20.63,20.68,1884200,18.997
2015-02-13,20.85,20.895,20.66,20.715,3611900,19.029
2015-02-12,20.755,20.94,20.705,20.805,3856700,19.112
2015-02-11,20.665,20.78,20.575,20.74,3427700,19.052
2015-02-10,20.51,20.695,20.335,20.645,5707200,18.965
2015-02-09,20.59,20.65,20.36,20.495,4252300,18.827
2015-02-06,20.855,20.885,20.68,20.815,4969200,19.121
2015-02-05,20.87,20.985,20.785,20.865,3822800,19.167
2015-02-04,21.095,21.155,20.895,21.00,3768900,19.291
2015-02-03,21.105,21.25,21.03,21.13,3727900,19.41
2015-02-02,20.96,21.10,20.71,21.01,4838700,19.30
2015-01-30,21.16,21.255,20.945,21.035,5256700,19.323
2015-01-29,20.94,21.24,20.905,21.155,4121000,19.433
2015-01-28,21.35,21.43,21.005,21.16,4536400,19.438
2015-01-27,21.185,21.25,21.005,21.22,4280500,19.493
2015-01-26,21.13,21.255,21.095,21.23,4959300,19.502
2015-01-23,20.89,21.315,20.87,21.14,11213000,19.419
2015-01-22,20.65,20.85,20.505,20.815,8324500,19.121
2015-01-21,20.735,20.765,20.28,20.65,7863100,18.969
2015-01-20,20.62,20.77,20.62,20.735,4828100,19.047
2015-01-19,20.60,20.755,20.50,20.57,4306700,18.896
2015-01-16,20.47,20.735,20.46,20.64,5103100,18.96
2015-01-15,20.53,20.69,19.95,20.62,6763300,18.942
2015-01-14,20.37,20.75,20.33,20.43,4505800,18.767
2015-01-13,20.27,20.705,20.27,20.58,5034700,18.905
2015-01-12,20.34,20.66,20.20,20.365,6235300,18.707
2015-01-09,20.255,20.41,20.135,20.245,5303800,18.597
2015-01-08,20.025,20.355,19.965,20.30,5124500,18.648
2015-01-07,19.875,19.955,19.73,19.84,4498800,18.225
2015-01-06,20.125,20.19,19.785,19.80,7089600,18.188
2015-01-05,20.415,20.685,20.105,20.135,6215700,18.496
2015-01-02,20.83,20.90,20.475,20.555,3073100,18.882
2015-01-01,20.69,20.69,20.69,20.69,000,19.006
2014-12-31,20.75,20.78,20.63,20.69,819000,19.006
2014-12-30,20.79,20.815,20.645,20.645,2403400,18.965
2014-12-29,20.705,20.86,20.63,20.83,3668500,19.134
2014-12-26,20.79,20.79,20.79,20.79,000,19.098
2014-12-25,20.79,20.79,20.79,20.79,000,19.098
2014-12-24,20.795,20.85,20.745,20.79,797800,19.098
2014-12-23,20.55,20.80,20.50,20.80,3507700,19.107
2014-12-22,20.26,20.525,20.255,20.455,3821100,18.79
2014-12-19,20.345,20.365,20.085,20.24,8791800,18.593
2014-12-18,19.93,20.17,19.825,20.17,6833200,18.528
2014-12-17,19.42,19.75,19.355,19.65,4781600,18.051
2014-12-16,19.55,19.615,19.045,19.595,12690800,18.00
2014-12-15,19.875,19.91,19.455,19.515,6382300,17.927
2014-12-12,20.15,20.21,19.875,19.91,5485000,18.289
2014-12-11,20.30,20.41,20.205,20.285,3532600,18.634
2014-12-10,20.38,20.45,20.22,20.26,2942100,18.611
2014-12-09,20.50,20.525,20.205,20.285,6216300,18.634
2014-12-08,20.625,20.785,20.625,20.68,1952300,18.997
2014-12-05,20.645,20.77,20.57,20.735,4927900,19.047
2014-12-04,20.63,20.785,20.355,20.40,5499100,18.739
2014-12-03,20.605,20.66,20.485,20.565,2225200,18.891
2014-12-02,20.69,20.70,20.43,20.575,3874200,18.90
2014-12-01,20.41,20.725,20.32,20.59,3822000,18.914
2014-11-28,20.38,20.50,20.31,20.48,4731700,18.813
2014-11-27,20.195,20.34,20.165,20.33,3349400,18.675
2014-11-26,20.095,20.255,20.085,20.155,3094600,18.514
2014-11-25,20.14,20.245,20.05,20.11,4792700,18.473
2014-11-24,20.22,20.30,20.13,20.17,4742900,18.528
2014-11-21,19.92,20.25,19.91,20.215,7687200,18.57
2014-11-20,19.82,19.955,19.705,19.915,4077100,18.294
2014-11-19,19.705,19.90,19.685,19.78,2880400,18.17
2014-11-18,19.98,20.085,19.665,19.72,7360900,18.115
2014-11-17,19.71,20.035,19.71,20.00,4349600,18.372
2014-11-14,19.91,19.975,19.78,19.845,2856200,18.23
2014-11-13,19.885,19.995,19.735,19.775,4447500,18.165
2014-11-12,19.90,20.045,19.725,19.755,5412300,18.147
2014-11-11,19.77,19.90,19.77,19.875,3287100,18.257
2014-11-10,19.60,19.775,19.585,19.75,4237600,18.142
2014-11-07,19.745,19.785,19.515,19.625,6200100,18.028
2014-11-06,19.55,19.945,19.53,19.755,6558700,18.147
2014-11-05,19.41,19.615,19.39,19.605,5006900,18.009
2014-11-04,19.40,19.545,19.235,19.30,4667500,17.729
2014-11-03,19.425,19.52,19.36,19.37,4500100,17.793
2014-10-31,19.365,19.52,19.325,19.475,6610400,17.89
2014-10-30,19.095,19.205,18.775,19.12,4031100,17.564
2014-10-29,19.075,19.135,19.00,19.025,3048600,17.476
2014-10-28,18.85,19.025,18.82,18.99,6224300,17.444
2014-10-27,18.785,18.785,18.51,18.655,3833900,17.137
2014-10-24,18.66,18.79,18.52,18.645,4300900,17.127
2014-10-23,18.38,18.725,18.33,18.685,5425900,17.164
2014-10-22,18.345,18.44,18.285,18.43,3802500,16.93
2014-10-21,17.945,18.375,17.91,18.365,6443100,16.87
2014-10-20,18.02,18.135,17.88,18.00,4277900,16.535
2014-10-17,17.72,18.085,17.72,18.045,10381900,16.576
2014-10-16,17.80,17.92,17.32,17.70,12123800,16.259
2014-10-15,17.93,17.935,17.595,17.595,11847400,16.163
2014-10-14,18.005,18.075,17.88,17.985,5905000,16.521
2014-10-13,18.045,18.15,17.99,18.07,4000700,16.599
2014-10-10,18.15,18.315,18.10,18.15,5635900,16.673
2014-10-09,18.70,18.73,18.205,18.255,6133700,16.769
2014-10-08,18.53,18.61,18.41,18.45,5298200,16.948
2014-10-07,18.83,18.86,18.52,18.57,5762900,17.058
2014-10-06,18.825,18.975,18.645,18.88,4537500,17.343
2014-10-03,18.655,18.755,18.595,18.675,3254000,17.155
2014-10-02,18.68,18.75,18.495,18.535,7595200,17.026
2014-10-01,19.075,19.16,18.67,18.72,6644200,17.196
2014-09-30,19.13,19.24,18.98,19.12,4373900,17.564
2014-09-29,19.165,19.28,18.945,19.04,3618300,17.49
2014-09-26,19.055,19.22,18.98,19.14,4516200,17.582
2014-09-25,19.33,19.385,18.99,19.03,5208000,17.481
2014-09-24,19.285,19.43,19.18,19.37,4121400,17.793
2014-09-23,19.475,19.475,19.17,19.215,3816200,17.651
2014-09-22,19.435,19.605,19.37,19.455,2677700,17.871
2014-09-19,19.655,19.695,19.45,19.45,6366900,17.867
2014-09-18,19.46,19.59,19.39,19.47,2980500,17.885
2014-09-17,19.43,19.49,19.295,19.375,3085400,17.798
2014-09-16,19.355,19.37,19.14,19.33,3262700,17.757
2014-09-15,19.29,19.38,19.24,19.33,2380900,17.757
2014-09-12,19.435,19.455,19.245,19.33,3981700,17.757
2014-09-11,19.46,19.525,19.30,19.43,3823300,17.848
2014-09-10,19.33,19.515,19.23,19.46,3903500,17.876
2014-09-09,19.485,19.655,19.365,19.41,4274400,17.83
2014-09-08,19.485,19.72,19.46,19.59,4178300,17.995
2014-09-05,19.665,19.71,19.565,19.61,3572200,18.014
2014-09-04,19.62,19.865,19.46,19.705,8305400,18.101
2014-09-03,19.93,19.97,19.63,19.655,6571000,18.055
2014-09-02,19.94,20.02,19.895,19.91,3858300,18.289
2014-09-01,19.795,19.925,19.705,19.925,3569300,18.303
2014-08-29,20.13,20.175,19.665,19.795,6314600,18.184
2014-08-28,20.21,20.25,19.91,20.20,5352200,18.556
2014-08-27,19.955,20.29,19.94,20.19,5243600,18.547
2014-08-26,19.67,19.95,19.625,19.945,3688700,18.322
2014-08-25,19.705,19.795,19.565,19.795,2932300,18.184
2014-08-22,19.62,19.62,19.345,19.485,2811900,17.899
2014-08-21,19.39,19.61,19.275,19.61,3241800,18.014
